tick,active_gpu_count,active_cpu_cores,active_mem_gib
122,6.0,52.0,240.0
123,6.0,52.0,240.0
124,6.0,52.0,240.0
125,6.0,52.0,240.0
126,6.0,52.0,240.0
127,6.0,52.0,240.0
128,6.0,52.0,240.0
129,6.0,52.0,240.0
130,6.0,52.0,240.0
131,7.0,60.0,280.0
132,7.0,60.0,280.0
133,6.0,52.0,240.0
134,6.0,52.0,240.0
135,6.0,52.0,240.0
136,7.0,64.0,360.0
137,7.0,64.0,360.0
138,7.0,64.0,360.0
139,6.0,52.0,240.0
140,6.0,52.0,240.0
141,6.0,52.0,240.0
142,6.0,52.0,240.0
143,6.0,52.0,240.0
144,6.0,52.0,240.0
145,6.0,52.0,240.0
146,6.0,52.0,240.0
147,6.0,52.0,240.0
148,6.0,52.0,240.0
149,7.0,60.0,280.0
150,7.0,60.0,280.0
151,7.0,60.0,280.0
152,7.0,60.0,280.0
153,7.0,60.0,280.0
154,7.0,60.0,280.0
155,7.0,60.0,280.0
156,7.0,60.0,280.0
157,7.0,60.0,280.0
158,7.0,60.0,280.0
159,7.0,60.0,280.0
160,7.0,60.0,280.0
161,7.0,60.0,280.0
162,10.0,84.0,400.0
163,10.0,84.0,400.0
164,10.0,84.0,400.0
165,10.0,84.0,400.0
166,10.0,84.0,400.0
167,10.0,84.0,400.0
168,11.0,92.0,440.0
169,11.0,92.0,440.0
170,11.0,92.0,440.0
171,11.0,92.0,440.0
172,15.0,132.0,760.0
173,15.0,132.0,760.0
174,15.0,132.0,760.0
175,15.0,132.0,760.0
176,15.0,132.0,760.0
177,15.0,132.0,760.0
178,13.0,108.0,520.0
179,13.0,108.0,520.0
180,13.0,108.0,520.0
181,13.0,108.0,520.0
182,13.0,108.0,520.0
183,13.0,108.0,520.0
184,13.0,108.0,520.0
185,13.0,108.0,520.0
186,13.0,108.0,520.0
187,13.0,108.0,520.0
188,13.0,108.0,520.0
189,13.0,108.0,520.0
190,13.0,108.0,520.0
191,13.0,108.0,520.0
192,13.0,108.0,520.0
193,13.0,108.0,520.0
194,13.0,108.0,520.0
195,13.0,108.0,520.0
196,15.0,132.0,760.0
197,15.0,132.0,760.0
198,15.0,132.0,760.0
199,15.0,132.0,760.0
200,15.0,132.0,760.0
201,15.0,132.0,760.0
202,15.0,132.0,760.0
203,15.0,132.0,760.0
204,15.0,132.0,760.0
205,15.0,132.0,760.0
206,15.0,132.0,760.0
207,15.0,132.0,760.0
208,15.0,132.0,760.0
209,15.0,132.0,760.0
210,16.0,144.0,880.0
211,16.0,144.0,880.0
212,16.0,144.0,880.0
213,16.0,144.0,880.0
214,15.0,132.0,760.0
215,15.0,132.0,760.0
216,15.0,132.0,760.0
217,15.0,132.0,760.0
218,15.0,132.0,760.0
219,15.0,132.0,760.0
220,15.0,132.0,760.0
221,14.0,120.0,640.0
222,14.0,120.0,640.0
223,14.0,120.0,640.0
224,14.0,120.0,640.0
225,14.0,120.0,640.0
226,14.0,120.0,640.0
227,14.0,120.0,640.0
228,14.0,120.0,640.0
229,14.0,120.0,640.0
230,15.0,132.0,760.0
231,15.0,132.0,760.0
232,14.0,120.0,640.0
233,14.0,120.0,640.0
234,14.0,120.0,640.0
235,14.0,120.0,640.0
236,14.0,120.0,640.0
237,14.0,120.0,640.0
238,14.0,120.0,640.0
239,14.0,120.0,640.0
240,14.0,120.0,640.0
241,14.0,120.0,640.0
242,14.0,120.0,640.0
243,14.0,120.0,640.0
244,14.0,120.0,640.0
245,15.0,132.0,760.0
246,15.0,132.0,760.0
247,15.0,132.0,760.0
248,14.0,120.0,640.0
249,14.0,120.0,640.0
250,14.0,120.0,640.0
251,14.0,120.0,640.0
252,14.0,120.0,640.0
253,14.0,120.0,640.0
254,14.0,120.0,640.0
255,13.0,108.0,520.0
256,13.0,108.0,520.0
257,13.0,108.0,520.0
258,13.0,108.0,520.0
259,13.0,108.0,520.0
260,13.0,108.0,520.0
261,14.0,120.0,640.0
262,13.0,108.0,520.0
263,13.0,108.0,520.0
264,13.0,108.0,520.0
265,13.0,108.0,520.0
266,13.0,108.0,520.0
267,13.0,108.0,520.0
268,13.0,108.0,520.0
269,13.0,108.0,520.0
270,13.0,108.0,520.0
271,13.0,108.0,520.0
272,13.0,108.0,520.0
273,13.0,108.0,520.0
274,13.0,108.0,520.0
275,13.0,108.0,520.0
276,13.0,108.0,520.0
277,13.0,108.0,520.0
278,13.0,108.0,520.0
279,13.0,108.0,520.0
280,14.0,116.0,560.0
281,14.0,116.0,560.0
282,14.0,116.0,560.0
283,14.0,116.0,560.0
284,14.0,116.0,560.0
285,14.0,116.0,560.0
286,14.0,116.0,560.0
287,14.0,116.0,560.0
288,14.0,116.0,560.0
289,14.0,116.0,560.0
290,14.0,116.0,560.0
291,14.0,116.0,560.0
292,14.0,116.0,560.0
293,16.0,132.0,640.0
294,16.0,132.0,640.0
295,16.0,132.0,640.0
296,19.0,156.0,760.0
297,21.0,172.0,840.0
298,23.0,196.0,1080.0
299,23.0,196.0,1080.0
300,23.0,196.0,1080.0
301,23.0,196.0,1080.0
302,23.0,196.0,1080.0
303,23.0,196.0,1080.0
304,23.0,196.0,1080.0
305,22.0,188.0,1040.0
306,22.0,188.0,1040.0
307,22.0,188.0,1040.0
308,22.0,188.0,1040.0
309,23.0,200.0,1160.0
310,23.0,200.0,1160.0
311,23.0,200.0,1160.0
312,22.0,188.0,1040.0
313,22.0,188.0,1040.0
314,24.0,204.0,1120.0
315,24.0,204.0,1120.0
316,22.0,188.0,1040.0
317,22.0,188.0,1040.0
318,22.0,188.0,1040.0
319,22.0,188.0,1040.0
320,22.0,188.0,1040.0
321,22.0,188.0,1040.0
322,22.0,188.0,1040.0
323,23.0,196.0,1080.0
324,23.0,196.0,1080.0
325,23.0,196.0,1080.0
326,23.0,196.0,1080.0
327,23.0,196.0,1080.0
328,23.0,196.0,1080.0
329,23.0,196.0,1080.0
330,23.0,196.0,1080.0
331,23.0,196.0,1080.0
332,24.0,208.0,1200.0
333,24.0,208.0,1200.0
334,24.0,208.0,1200.0
335,22.0,184.0,960.0
336,21.0,176.0,920.0
337,21.0,176.0,920.0
338,21.0,176.0,920.0
339,21.0,176.0,920.0
340,21.0,176.0,920.0
341,21.0,176.0,920.0
342,21.0,176.0,920.0
343,21.0,176.0,920.0
344,21.0,176.0,920.0
345,21.0,176.0,920.0
346,22.0,184.0,960.0
347,22.0,184.0,960.0
348,22.0,184.0,960.0
349,22.0,184.0,960.0
350,22.0,184.0,960.0
351,22.0,184.0,960.0
352,22.0,184.0,960.0
353,20.0,168.0,880.0
354,20.0,168.0,880.0
355,20.0,168.0,880.0
356,20.0,168.0,880.0
357,20.0,168.0,880.0
358,20.0,168.0,880.0
359,20.0,168.0,880.0
360,20.0,168.0,880.0
361,20.0,168.0,880.0
362,20.0,168.0,880.0
363,20.0,168.0,880.0
364,20.0,168.0,880.0
365,20.0,168.0,880.0
366,20.0,168.0,880.0
367,20.0,168.0,880.0
368,20.0,168.0,880.0
369,20.0,168.0,880.0
370,20.0,168.0,880.0
371,20.0,168.0,880.0
372,20.0,168.0,880.0
373,20.0,168.0,880.0
374,20.0,168.0,880.0
375,20.0,168.0,880.0
376,20.0,168.0,880.0
377,20.0,168.0,880.0
378,20.0,168.0,880.0
379,20.0,168.0,880.0
380,21.0,180.0,1000.0
381,20.0,168.0,880.0
382,20.0,168.0,880.0
383,20.0,168.0,880.0
384,20.0,168.0,880.0
385,20.0,168.0,880.0
386,20.0,168.0,880.0
387,20.0,168.0,880.0
388,20.0,168.0,880.0
389,20.0,168.0,880.0
390,20.0,168.0,880.0
391,20.0,168.0,880.0
392,20.0,168.0,880.0
393,20.0,168.0,880.0
394,20.0,168.0,880.0
395,20.0,168.0,880.0
396,20.0,168.0,880.0
397,20.0,168.0,880.0
398,20.0,168.0,880.0
399,20.0,168.0,880.0
400,20.0,168.0,880.0
401,21.0,180.0,1000.0
402,21.0,180.0,1000.0
403,21.0,180.0,1000.0
404,21.0,180.0,1000.0
405,21.0,180.0,1000.0
406,21.0,180.0,1000.0
407,21.0,180.0,1000.0
408,22.0,192.0,1120.0
409,22.0,192.0,1120.0
410,21.0,180.0,1000.0
411,22.0,192.0,1120.0
412,24.0,216.0,1360.0
413,23.0,204.0,1240.0
414,23.0,204.0,1240.0
415,23.0,204.0,1240.0
416,23.0,204.0,1240.0
417,23.0,204.0,1240.0
418,23.0,204.0,1240.0
419,23.0,204.0,1240.0
420,23.0,204.0,1240.0
421,23.0,204.0,1240.0
422,21.0,180.0,1000.0
423,21.0,180.0,1000.0
424,21.0,180.0,1000.0
425,21.0,180.0,1000.0
426,21.0,180.0,1000.0
427,21.0,180.0,1000.0
428,21.0,180.0,1000.0
429,21.0,180.0,1000.0
430,21.0,180.0,1000.0
431,21.0,180.0,1000.0
432,21.0,180.0,1000.0
433,21.0,180.0,1000.0
434,21.0,180.0,1000.0
435,21.0,180.0,1000.0
436,21.0,180.0,1000.0
437,21.0,180.0,1000.0
438,23.0,204.0,1240.0
439,23.0,204.0,1240.0
440,23.0,204.0,1240.0
441,21.0,180.0,1000.0
442,21.0,180.0,1000.0
443,21.0,180.0,1000.0
444,21.0,180.0,1000.0
445,21.0,180.0,1000.0
446,22.0,192.0,1120.0
447,22.0,192.0,1120.0
448,22.0,192.0,1120.0
449,22.0,192.0,1120.0
450,22.0,192.0,1120.0
451,22.0,192.0,1120.0
452,22.0,192.0,1120.0
453,22.0,192.0,1120.0
454,22.0,192.0,1120.0
455,22.0,192.0,1120.0
456,21.0,180.0,1000.0
457,21.0,180.0,1000.0
458,21.0,180.0,1000.0
459,21.0,180.0,1000.0
460,21.0,180.0,1000.0
461,23.0,196.0,1080.0
462,23.0,196.0,1080.0
463,23.0,196.0,1080.0
464,24.0,208.0,1200.0
465,24.0,208.0,1200.0
466,24.0,208.0,1200.0
467,23.0,196.0,1080.0
468,23.0,196.0,1080.0
469,23.0,196.0,1080.0
470,23.0,196.0,1080.0
471,23.0,196.0,1080.0
472,23.0,196.0,1080.0
473,23.0,196.0,1080.0
474,23.0,196.0,1080.0
475,23.0,196.0,1080.0
476,23.0,196.0,1080.0
477,23.0,196.0,1080.0
478,23.0,196.0,1080.0
479,24.0,204.0,1120.0
480,27.0,236.0,1400.0
481,25.0,220.0,1320.0
482,25.0,220.0,1320.0
483,23.0,196.0,1080.0
484,23.0,196.0,1080.0
485,23.0,196.0,1080.0
486,23.0,196.0,1080.0
487,23.0,196.0,1080.0
488,23.0,196.0,1080.0
489,23.0,196.0,1080.0
490,23.0,196.0,1080.0
491,24.0,208.0,1200.0
492,24.0,208.0,1200.0
493,24.0,208.0,1200.0
494,23.0,196.0,1080.0
495,23.0,196.0,1080.0
496,23.0,196.0,1080.0
497,23.0,196.0,1080.0
498,23.0,196.0,1080.0
499,23.0,196.0,1080.0
500,23.0,196.0,1080.0
501,23.0,196.0,1080.0
502,23.0,196.0,1080.0
503,23.0,196.0,1080.0
504,23.0,196.0,1080.0
505,23.0,196.0,1080.0
506,23.0,196.0,1080.0
507,23.0,196.0,1080.0
508,23.0,196.0,1080.0
509,23.0,196.0,1080.0
510,23.0,196.0,1080.0
511,23.0,196.0,1080.0
512,23.0,196.0,1080.0
513,23.0,196.0,1080.0
514,24.0,208.0,1200.0
515,24.0,208.0,1200.0
516,25.0,216.0,1240.0
517,25.0,216.0,1240.0
518,24.0,208.0,1200.0
519,24.0,208.0,1200.0
520,24.0,208.0,1200.0
521,24.0,208.0,1200.0
522,24.0,208.0,1200.0
523,24.0,208.0,1200.0
524,23.0,196.0,1080.0
525,24.0,208.0,1200.0
526,24.0,208.0,1200.0
527,24.0,208.0,1200.0
528,24.0,208.0,1200.0
529,24.0,208.0,1200.0
530,24.0,208.0,1200.0
531,24.0,208.0,1200.0
532,24.0,208.0,1200.0
533,24.0,208.0,1200.0
534,24.0,208.0,1200.0
535,22.0,188.0,1040.0
536,22.0,188.0,1040.0
537,23.0,200.0,1160.0
538,23.0,200.0,1160.0
539,23.0,200.0,1160.0
540,23.0,200.0,1160.0
541,23.0,200.0,1160.0
542,23.0,200.0,1160.0
543,22.0,188.0,1040.0
544,22.0,188.0,1040.0
545,22.0,188.0,1040.0
546,22.0,188.0,1040.0
547,22.0,188.0,1040.0
548,22.0,188.0,1040.0
549,22.0,188.0,1040.0
550,22.0,188.0,1040.0
551,22.0,188.0,1040.0
552,22.0,188.0,1040.0
553,22.0,188.0,1040.0
554,22.0,188.0,1040.0
555,22.0,188.0,1040.0
556,22.0,188.0,1040.0
557,22.0,188.0,1040.0
558,22.0,188.0,1040.0
559,23.0,200.0,1160.0
560,24.0,212.0,1280.0
561,24.0,212.0,1280.0
562,24.0,212.0,1280.0
563,24.0,212.0,1280.0
564,23.0,200.0,1160.0
565,23.0,200.0,1160.0
566,23.0,200.0,1160.0
567,23.0,200.0,1160.0
568,23.0,200.0,1160.0
569,23.0,200.0,1160.0
570,23.0,200.0,1160.0
571,23.0,200.0,1160.0
572,23.0,200.0,1160.0
573,23.0,200.0,1160.0
574,23.0,200.0,1160.0
575,23.0,200.0,1160.0
576,23.0,200.0,1160.0
577,23.0,200.0,1160.0
578,22.0,188.0,1040.0
579,22.0,188.0,1040.0
580,22.0,188.0,1040.0
581,23.0,196.0,1080.0
582,24.0,208.0,1200.0
583,24.0,208.0,1200.0
584,24.0,208.0,1200.0
585,24.0,208.0,1200.0
586,24.0,208.0,1200.0
587,24.0,208.0,1200.0
588,24.0,208.0,1200.0
589,23.0,196.0,1080.0
590,23.0,196.0,1080.0
591,23.0,196.0,1080.0
592,23.0,196.0,1080.0
593,22.0,188.0,1040.0
594,22.0,188.0,1040.0
595,23.0,196.0,1080.0
596,23.0,196.0,1080.0
597,23.0,196.0,1080.0
598,23.0,196.0,1080.0
599,23.0,196.0,1080.0
600,23.0,196.0,1080.0
601,23.0,196.0,1080.0
602,23.0,196.0,1080.0
603,23.0,196.0,1080.0
604,23.0,196.0,1080.0
605,23.0,196.0,1080.0
606,23.0,196.0,1080.0
607,23.0,196.0,1080.0
608,23.0,196.0,1080.0
609,23.0,196.0,1080.0
610,24.0,204.0,1120.0
611,24.0,204.0,1120.0
612,24.0,204.0,1120.0
613,24.0,204.0,1120.0
614,24.0,204.0,1120.0
615,24.0,204.0,1120.0
616,24.0,204.0,1120.0
617,24.0,204.0,1120.0
618,24.0,204.0,1120.0
619,24.0,204.0,1120.0
620,24.0,204.0,1120.0
621,24.0,204.0,1120.0
622,24.0,204.0,1120.0
623,23.0,196.0,1080.0
624,23.0,196.0,1080.0
625,23.0,196.0,1080.0
626,23.0,196.0,1080.0
627,23.0,196.0,1080.0
628,23.0,196.0,1080.0
629,25.0,220.0,1320.0
630,25.0,220.0,1320.0
631,24.0,208.0,1200.0
632,24.0,208.0,1200.0
633,24.0,208.0,1200.0
634,24.0,208.0,1200.0
635,24.0,208.0,1200.0
636,23.0,196.0,1080.0
637,23.0,196.0,1080.0
638,23.0,196.0,1080.0
639,23.0,196.0,1080.0
640,23.0,196.0,1080.0
641,22.0,188.0,1040.0
642,22.0,188.0,1040.0
643,22.0,188.0,1040.0
644,22.0,188.0,1040.0
645,24.0,212.0,1280.0
646,24.0,212.0,1280.0
647,24.0,212.0,1280.0
648,22.0,188.0,1040.0
649,22.0,188.0,1040.0
650,23.0,200.0,1160.0
651,23.0,200.0,1160.0
652,23.0,200.0,1160.0
653,23.0,200.0,1160.0
654,23.0,200.0,1160.0
655,22.0,188.0,1040.0
656,22.0,188.0,1040.0
657,22.0,188.0,1040.0
658,22.0,188.0,1040.0
659,22.0,188.0,1040.0
660,22.0,188.0,1040.0
661,23.0,200.0,1160.0
662,23.0,200.0,1160.0
663,25.0,216.0,1240.0
664,25.0,216.0,1240.0
665,25.0,216.0,1240.0
666,25.0,216.0,1240.0
667,24.0,204.0,1120.0
668,24.0,204.0,1120.0
669,24.0,204.0,1120.0
670,24.0,204.0,1120.0
671,24.0,204.0,1120.0
672,24.0,204.0,1120.0
673,24.0,204.0,1120.0
674,24.0,204.0,1120.0
675,24.0,204.0,1120.0
676,25.0,216.0,1240.0
677,25.0,216.0,1240.0
678,26.0,228.0,1360.0
679,26.0,228.0,1360.0
680,26.0,228.0,1360.0
681,25.0,216.0,1240.0
682,25.0,212.0,1160.0
683,24.0,204.0,1120.0
684,26.0,228.0,1360.0
685,26.0,228.0,1360.0
686,26.0,228.0,1360.0
687,26.0,228.0,1360.0
688,38.0,324.0,1784.0
689,36.0,300.0,1544.0
690,36.0,300.0,1544.0
691,36.0,300.0,1544.0
692,36.0,300.0,1544.0
693,36.0,300.0,1544.0
694,42.0,356.0,1920.0
695,42.0,356.0,1920.0
696,37.0,308.0,1560.0
697,43.0,356.0,1800.0
698,43.0,356.0,1800.0
699,41.0,340.0,1720.0
700,50.0,424.0,2272.0
701,48.0,408.0,2216.0
702,48.0,408.0,2216.0
703,48.0,408.0,2216.0
704,49.0,416.0,2256.0
705,49.0,416.0,2256.0
706,49.0,416.0,2256.0
707,49.0,416.0,2256.0
708,49.0,416.0,2256.0
709,49.0,416.0,2256.0
710,46.0,380.0,1896.0
711,51.0,420.0,2000.0
712,51.0,420.0,2000.0
713,48.0,404.0,2088.0
714,48.0,404.0,2088.0
715,48.0,404.0,2088.0
716,47.0,392.0,1968.0
717,47.0,392.0,1968.0
718,48.0,404.0,2088.0
719,48.0,404.0,2088.0
720,48.0,404.0,2088.0
721,48.0,404.0,2088.0
722,55.0,454.0,2288.0
723,58.0,478.0,2408.0
724,57.0,470.0,2392.0
725,54.0,446.0,2272.0
726,54.0,446.0,2272.0
727,54.0,446.0,2272.0
728,54.0,446.0,2272.0
729,54.0,446.0,2272.0
730,54.0,446.0,2272.0
731,54.0,446.0,2272.0
732,54.0,446.0,2272.0
733,54.0,446.0,2272.0
734,60.0,494.0,2432.0
735,56.0,462.0,2352.0
736,55.0,454.0,2312.0
737,55.0,454.0,2312.0
738,55.0,454.0,2312.0
739,55.0,454.0,2312.0
740,55.0,454.0,2312.0
741,55.0,454.0,2312.0
742,55.0,454.0,2312.0
743,55.0,454.0,2312.0
744,55.0,454.0,2312.0
745,55.0,454.0,2312.0
746,55.0,454.0,2312.0
747,55.0,454.0,2312.0
748,55.0,454.0,2312.0
749,55.0,454.0,2312.0
750,55.0,454.0,2312.0
751,55.0,454.0,2312.0
752,55.0,454.0,2312.0
753,55.0,454.0,2312.0
754,55.0,454.0,2312.0
755,55.0,454.0,2312.0
756,55.0,454.0,2312.0
757,55.0,454.0,2312.0
758,55.0,454.0,2312.0
759,55.0,454.0,2312.0
760,56.0,462.0,2352.0
761,56.0,462.0,2352.0
762,55.0,454.0,2312.0
763,55.0,454.0,2312.0
764,55.0,454.0,2312.0
765,55.0,454.0,2312.0
766,55.0,454.0,2312.0
767,55.0,454.0,2312.0
768,57.0,470.0,2368.0
769,54.0,446.0,2296.0
770,54.0,446.0,2296.0
771,54.0,446.0,2296.0
772,55.0,458.0,2416.0
773,55.0,458.0,2416.0
774,55.0,458.0,2416.0
775,55.0,458.0,2416.0
776,55.0,458.0,2416.0
777,55.0,458.0,2416.0
778,56.0,470.0,2536.0
779,58.0,486.0,2592.0
780,56.0,470.0,2560.0
781,53.0,446.0,2448.0
782,53.0,446.0,2448.0
783,53.0,446.0,2448.0
784,53.0,446.0,2448.0
785,53.0,446.0,2448.0
786,53.0,446.0,2448.0
787,53.0,446.0,2448.0
788,53.0,446.0,2448.0
789,53.0,446.0,2448.0
790,59.0,506.0,2880.0
791,59.0,506.0,2880.0
792,54.0,472.0,2776.0
793,51.0,440.0,2496.0
794,50.0,428.0,2376.0
795,50.0,428.0,2376.0
796,50.0,428.0,2376.0
797,50.0,428.0,2376.0
798,50.0,428.0,2376.0
799,50.0,428.0,2376.0
800,50.0,428.0,2376.0
801,50.0,428.0,2376.0
802,51.0,440.0,2496.0
803,51.0,440.0,2496.0
804,51.0,440.0,2496.0
805,50.0,428.0,2376.0
806,50.0,428.0,2376.0
807,50.0,428.0,2376.0
808,50.0,428.0,2376.0
809,50.0,428.0,2376.0
810,50.0,428.0,2376.0
811,50.0,428.0,2376.0
812,50.0,428.0,2376.0
813,50.0,428.0,2376.0
814,50.0,428.0,2376.0
815,50.0,428.0,2376.0
816,50.0,428.0,2376.0
817,50.0,428.0,2376.0
818,50.0,428.0,2376.0
819,50.0,428.0,2376.0
820,50.0,428.0,2376.0
821,50.0,428.0,2376.0
822,50.0,428.0,2376.0
823,50.0,428.0,2376.0
824,50.0,428.0,2376.0
825,50.0,428.0,2376.0
826,50.0,428.0,2376.0
827,50.0,428.0,2376.0
828,50.0,428.0,2376.0
829,50.0,428.0,2376.0
830,50.0,428.0,2376.0
831,50.0,428.0,2376.0
832,50.0,428.0,2376.0
833,51.0,436.0,2416.0
834,51.0,436.0,2416.0
835,51.0,436.0,2416.0
836,50.0,428.0,2376.0
837,50.0,428.0,2376.0
838,50.0,428.0,2376.0
839,50.0,428.0,2376.0
840,50.0,428.0,2376.0
841,50.0,428.0,2376.0
842,50.0,428.0,2376.0
843,50.0,428.0,2376.0
844,50.0,428.0,2376.0
845,50.0,428.0,2376.0
846,50.0,428.0,2376.0
847,50.0,428.0,2376.0
848,50.0,428.0,2376.0
849,50.0,428.0,2376.0
850,50.0,428.0,2376.0
851,50.0,428.0,2376.0
852,51.0,436.0,2416.0
853,51.0,436.0,2416.0
854,50.0,428.0,2376.0
855,50.0,428.0,2376.0
856,50.0,428.0,2376.0
857,50.0,428.0,2376.0
858,50.0,428.0,2376.0
859,50.0,428.0,2376.0
860,50.0,428.0,2376.0
861,50.0,428.0,2376.0
862,50.0,428.0,2376.0
863,50.0,428.0,2376.0
864,50.0,428.0,2376.0
865,50.0,428.0,2376.0
866,50.0,428.0,2376.0
867,50.0,428.0,2376.0
868,50.0,428.0,2376.0
869,51.0,436.0,2416.0
870,51.0,436.0,2416.0
871,51.0,436.0,2416.0
872,51.0,436.0,2416.0
873,51.0,436.0,2416.0
874,51.0,436.0,2416.0
875,51.0,436.0,2416.0
876,51.0,436.0,2416.0
877,51.0,436.0,2416.0
878,50.0,428.0,2376.0
879,50.0,428.0,2376.0
880,50.0,428.0,2376.0
881,50.0,428.0,2376.0
882,50.0,428.0,2376.0
883,50.0,428.0,2376.0
884,50.0,428.0,2376.0
885,50.0,428.0,2376.0
886,50.0,428.0,2376.0
887,50.0,428.0,2376.0
888,51.0,436.0,2416.0
889,51.0,436.0,2416.0
890,50.0,428.0,2376.0
891,50.0,428.0,2376.0
892,50.0,428.0,2376.0
893,50.0,428.0,2376.0
894,50.0,428.0,2376.0
895,50.0,428.0,2376.0
896,50.0,428.0,2376.0
897,50.0,428.0,2376.0
898,50.0,428.0,2376.0
899,50.0,428.0,2376.0
900,50.0,428.0,2376.0
901,50.0,428.0,2376.0
902,50.0,428.0,2376.0
903,50.0,428.0,2376.0
904,50.0,428.0,2376.0
905,50.0,428.0,2376.0
906,50.0,428.0,2376.0
907,50.0,428.0,2376.0
908,50.0,428.0,2376.0
909,50.0,428.0,2376.0
910,50.0,428.0,2376.0
911,50.0,428.0,2376.0
912,50.0,428.0,2376.0
913,50.0,428.0,2376.0
914,52.0,444.0,2456.0
915,52.0,444.0,2456.0
916,52.0,444.0,2456.0
917,52.0,444.0,2456.0
918,52.0,444.0,2456.0
919,52.0,444.0,2456.0
920,52.0,444.0,2456.0
921,52.0,444.0,2456.0
922,52.0,444.0,2456.0
923,52.0,444.0,2456.0
924,52.0,444.0,2456.0
925,53.0,452.0,2496.0
926,52.0,444.0,2456.0
927,51.0,436.0,2416.0
928,51.0,436.0,2416.0
929,50.0,428.0,2376.0
930,50.0,428.0,2376.0
931,50.0,428.0,2376.0
932,50.0,428.0,2376.0
933,50.0,428.0,2376.0
934,50.0,428.0,2376.0
935,50.0,428.0,2376.0
936,50.0,428.0,2376.0
937,50.0,428.0,2376.0
938,50.0,428.0,2376.0
939,50.0,428.0,2376.0
940,50.0,428.0,2376.0
941,50.0,428.0,2376.0
942,50.0,428.0,2376.0
943,50.0,428.0,2376.0
944,50.0,428.0,2376.0
945,50.0,428.0,2376.0
946,50.0,428.0,2376.0
947,50.0,428.0,2376.0
948,50.0,428.0,2376.0
949,50.0,428.0,2376.0
950,50.0,428.0,2376.0
951,50.0,428.0,2376.0
952,50.0,428.0,2376.0
