scenario,agent,n_episodes,wall_time_s,mean_reward,total_reward,bid_acceptance_rate,total_reg_revenue,total_elec_cost,mean_perf_score,mean_committed_mw,tracking_rmse,temp_A_max,temp_B_max,episode_length,mean_flex_kw,mean_bess_kw,mean_cool_delta_kw,mean_p_pump_mw,mean_p_hvac_mw,survival_rate,mean_reward_std,total_reward_std,bid_acceptance_rate_std,total_reg_revenue_std,total_elec_cost_std,mean_perf_score_std,mean_committed_mw_std,tracking_rmse_std,temp_A_max_std,temp_B_max_std,episode_length_std,mean_flex_kw_std,mean_bess_kw_std,mean_cool_delta_kw_std,mean_p_pump_mw_std,mean_p_hvac_mw_std
default,random_macro,5,9.58,0.5568,53.456,0.1208,1078.939,246.8923,0.7871,5.7733,1687.6902,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0569,5.467,0.0281,87.9015,0.0,0.0245,0.201,286.6888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+sac,5,44.57,0.653,62.692,0.1083,1557.3742,248.2592,0.8718,6.1734,1528.0352,31.1526,29.9479,96.0,513.9675,46.1763,-7.9077,0.7255,35.7666,1.0,0.1892,18.1655,0.0421,363.3319,2.0842,0.0687,0.3942,971.9241,0.1313,0.0,0.0,124.0393,39.0383,694.8351,0.0499,0.6554
default,random_macro,5,9.43,0.569,54.6281,0.1167,1202.9693,246.8923,0.7926,5.9789,1658.5242,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.038,3.6492,0.0213,127.185,0.0,0.0205,0.1926,273.6889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+rule_based,5,9.92,0.7882,75.671,0.0896,1335.9638,246.8875,0.8988,5.89,544.8149,30.5816,29.9481,96.0,13.7497,-64.6844,-450.6225,1.05,34.9994,1.0,0.0155,1.4916,0.0421,308.6531,0.1237,0.0081,0.3327,69.2611,0.0003,0.0,0.0,5.357,114.8879,38.363,0.0011,0.0372
default,random_macro+pid,5,11.0,0.7916,75.9897,0.0896,1292.7682,246.781,0.907,5.8086,521.0356,30.5875,29.9481,96.0,19.7042,6.2231,-487.9829,1.0489,34.9631,1.0,0.0324,3.1101,0.024,102.8373,0.3176,0.0073,0.1668,74.8673,0.0116,0.0,0.0,22.0284,124.6571,104.6098,0.003,0.1016
default,random_macro+bang_bang,5,9.8,0.4642,44.564,0.0854,1095.6495,246.7919,0.7809,5.7481,1329.6867,30.6066,29.9481,96.0,411.1128,-100.9717,-501.6205,1.0485,34.9499,1.0,0.0949,9.111,0.0136,190.271,0.5473,0.0154,0.3239,88.7047,0.0137,0.0,0.0,29.2931,175.2274,173.0339,0.005,0.168

default,random_macro,5,9.44,0.5686,54.584,0.0875,1056.4738,246.8923,0.7879,5.7145,1397.3554,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0474,4.5532,0.0203,117.7982,0.0,0.0233,0.2276,135.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+sac,5,42.71,0.4225,40.561,0.1083,1320.1815,248.7401,0.8026,5.9581,1220.8638,31.113,29.9477,96.0,1129.1803,-293.4786,142.4463,0.5958,36.0467,1.0,0.1568,15.0508,0.0281,253.1955,0.9069,0.0148,0.2885,107.007,0.1837,0.0,0.0,67.129,8.6992,280.675,0.0486,0.2468
default,random_macro,5,9.34,0.5692,54.6445,0.1042,1113.2419,246.8923,0.788,5.8543,1621.3156,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0468,4.4924,0.0244,91.2451,0.0,0.0232,0.143,263.1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+rule_based,5,9.75,0.7912,75.9547,0.0958,1185.7873,246.9935,0.9019,5.6001,501.2099,30.5819,29.9481,96.0,10.8959,-61.0038,-419.6205,1.0509,35.0295,1.0,0.025,2.3993,0.0259,158.9583,0.2247,0.0082,0.1813,49.8762,0.0009,0.0,0.0,4.8514,100.0958,65.2489,0.0019,0.0633
default,random_macro+pid,5,10.54,0.8113,77.8839,0.0958,1350.5019,246.93,0.9081,5.8989,575.3878,30.5818,29.9481,96.0,12.7735,-47.7284,-434.2378,1.0505,35.0153,1.0,0.019,1.8265,0.0364,468.0408,0.2981,0.0102,0.5765,147.3611,0.0,0.0,0.0,19.9573,165.42,82.9977,0.0024,0.0806
default,random_macro+bang_bang,5,9.54,0.4528,43.4673,0.1021,1141.9184,246.8687,0.7727,5.7405,1441.1252,30.5894,29.9481,96.0,415.4499,-40.3523,-480.1341,1.0491,34.9707,1.0,0.0727,6.9783,0.0502,408.4161,0.6649,0.0208,0.4914,141.5519,0.0336,0.0,0.0,52.6074,190.9046,219.4913,0.0064,0.2131

default,random_macro,5,10.4,0.5584,53.6055,0.1021,1122.1407,246.8923,0.7877,5.8117,1504.5469,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.052,4.9891,0.028,149.3446,0.0,0.0226,0.3255,190.3558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+sac,5,43.94,0.4829,46.3595,0.0979,1073.2197,248.388,0.8073,5.6277,1150.8342,31.1677,29.9477,96.0,1136.2146,-293.2015,40.439,0.5974,35.9431,1.0,0.0686,6.5901,0.0203,150.1194,0.3684,0.0304,0.1634,191.7386,0.2128,0.0,0.0,34.0438,3.0855,130.8877,0.0339,0.1108
default,random_macro,5,10.15,0.5663,54.3647,0.1,1005.0939,246.8923,0.7939,5.6138,1471.6171,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0746,7.1581,0.0261,159.0073,0.0,0.0231,0.2559,217.2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+sac,5,42.38,0.7687,73.7975,0.0979,1278.3489,249.3386,0.9059,5.7794,537.7139,30.7104,29.9468,96.0,434.1559,-207.9035,339.3883,0.9111,35.9282,1.0,0.0176,1.6932,0.0433,434.9416,1.0192,0.0069,0.5387,31.7234,0.0574,0.0,0.0,17.3828,45.4989,337.6011,0.0301,0.3506
default,random_macro,5,9.77,0.5727,54.9799,0.1062,1160.5728,246.8923,0.7904,5.8868,1720.9672,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.045,4.3164,0.0171,108.8312,0.0,0.0219,0.1982,238.2829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+rule_based,5,9.37,0.7763,74.5217,0.1167,1427.72,247.1314,0.8956,5.953,527.0991,30.5818,29.9481,96.0,12.1314,-68.9594,-378.5835,1.0521,35.0693,1.0,0.0439,4.2184,0.0238,342.4847,0.5833,0.0137,0.4995,66.6902,0.0012,0.0,0.0,4.8457,119.0484,175.6818,0.0051,0.1706
default,random_macro+pid,5,10.29,0.7975,76.5621,0.1083,1380.8321,246.7676,0.9088,5.8862,553.7382,30.5944,29.9481,96.0,27.8424,-32.0831,-491.257,1.0488,34.9599,1.0,0.0253,2.4293,0.0158,76.9167,0.358,0.0068,0.0754,113.0625,0.0305,0.0,0.0,32.823,145.7938,117.7056,0.0034,0.1143
default,random_macro+bang_bang,5,9.26,0.4818,46.2485,0.1437,1536.9817,246.6483,0.7849,6.1201,1313.6113,30.6032,29.9481,96.0,404.3114,-100.6731,-554.7453,1.0469,34.8983,1.0,0.0934,8.9638,0.0491,503.4079,0.4424,0.0186,0.6511,72.9089,0.0162,0.0,0.0,36.0475,174.4677,138.1824,0.004,0.1342

default,rule_macro,5,10.19,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+bang_bang,5,9.34,0.7291,69.9934,0.6375,5984.9343,246.6652,0.8765,11.375,1254.8533,30.5949,29.9481,96.0,357.613,-102.149,-549.869,1.0471,34.903,1.0,0.091,8.7313,0.0356,242.618,1.1647,0.0139,0.3563,124.2532,0.0248,0.0,0.0,64.6456,174.3949,389.2769,0.0113,0.3779
default,rule_macro+rule_based,5,9.49,0.9252,88.822,0.6375,6176.8342,247.1588,0.936,11.375,640.3698,30.5838,29.9481,96.0,51.4205,-81.8092,-368.0351,1.0524,35.0796,1.0,0.0253,2.4313,0.0356,246.8967,0.8418,0.007,0.3563,123.6491,0.018,0.0,0.0,33.2443,148.3351,272.4119,0.0079,0.2645
default,rule_macro+pid,5,10.41,0.8989,86.2933,0.6375,6172.8546,246.5988,0.9369,11.375,715.8285,30.5878,29.9481,96.0,71.8778,-48.0687,-549.5948,1.0471,34.9033,1.0,0.0563,5.4054,0.0356,223.873,1.1415,0.0057,0.3563,181.2262,0.0251,0.0,0.0,72.7829,162.2109,373.0792,0.0109,0.3622
default,rule_macro,5,9.64,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,64.33,1.0051,96.4929,0.6375,6379.7489,248.4274,0.9846,11.375,194.2529,30.8393,29.9483,96.0,326.9582,-197.967,74.2738,0.7142,35.8601,1.0,0.0016,0.1539,0.0356,238.1217,1.4962,0.0014,0.3563,37.9269,0.0781,0.0,0.0,4.2574,39.1967,481.4681,0.0262,0.5042
default,rule_macro,5,10.24,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,42.95,1.0076,96.7311,0.6375,6401.1109,248.4736,0.9867,11.375,144.8853,30.8513,29.9484,96.0,347.4976,-181.3364,74.6915,0.6712,35.9035,1.0,0.0042,0.407,0.0356,247.6095,1.6501,0.0012,0.3563,14.4111,0.0699,0.0,0.0,5.6889,23.2946,539.7583,0.0318,0.5368
default,rule_macro,5,9.17,0.6521,62.5978,0.6375,5209.3064,246.8923,0.7995,11.375,2758.8373,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0362,3.4749,0.0356,117.5714,0.0,0.0186,0.3563,256.0327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,41.73,0.9976,95.7711,0.6375,6388.7506,249.2724,0.9822,11.375,179.5065,30.8063,29.9488,96.0,367.0666,67.3072,334.0776,0.7323,36.1017,1.0,0.0046,0.4382,0.0356,244.6158,1.5168,0.0022,0.3563,20.0039,0.0575,0.0,0.0,8.341,48.3863,489.5399,0.0285,0.5096

