timestep,episode,env_idx,ep/mean_reward,ep/total_reward,ep/length,ep/survived,thermal/mean_temp_A,thermal/mean_temp_B,thermal/max_temp_A,thermal/max_temp_B,thermal/viol_rate,thermal/terminated,bess/mean_soc,bess/min_soc,bess/mean_dispatch_kw,grid/tracking_rmse_kw,grid/mean_lmp,grid/spike_fraction,facility/mean_pue,facility/mean_p_facility_mw,facility/mean_flex_reduction_kw
190080,11,0,0.7821466100540554,13515.493421734078,17280.0,1.0,30.392689782867894,20.5363343313344,30.75287855426607,29.94966583218126,0.0,0.0,0.5673084696238605,0.4185238315923279,1482.2487641229397,1213.374184154559,31.872428127812505,0.25,2.6075872932913455,80.49055123312466,485.55823521691946
207360,12,0,0.7813125085672019,13501.080148041248,17280.0,1.0,30.405813596853964,20.528384518401054,30.830107186525446,29.949493380616488,0.0,0.0,0.6269345969508313,0.44649333876991926,1362.8888710539925,1244.9753956101397,31.872428127812505,0.25,2.6496332353712795,81.78872970387413,475.75071569128704
224640,13,0,0.7758852940721597,13407.29788156692,17280.0,1.0,30.428436725247916,20.530828170282142,30.833563669731653,29.948683160532617,0.0,0.0,0.6492964142514067,0.41447349306839243,1484.169642303001,1274.8008154772801,31.872428127812505,0.25,2.6361971029008204,81.38406151173798,487.4525207070251
241920,14,0,0.7855787799907561,13574.801318240265,17280.0,1.0,30.401430436696277,20.527367156068667,30.778717529672623,29.949947444382435,0.0,0.0,0.6633045339752517,0.5002601222204667,1334.6872158969443,1311.4240582956413,31.872428127812505,0.25,2.639661045839348,81.44399213199212,456.0375294941221
259200,15,0,0.7748180844934672,13388.856500047114,17280.0,1.0,30.4315111095328,20.52906166923775,30.81222993087795,29.948936343848175,0.0,0.0,0.41759427687447837,0.15323269293779224,1725.9132117505997,1245.6833548412972,31.872428127812505,0.25,2.644808791929841,81.64840601633816,491.26007266490456
276480,16,0,0.7802301917880632,13482.377714097733,17280.0,1.0,30.40561129606818,20.530863852387704,30.71144335125349,29.949590859793975,0.0,0.0,0.5764208558800661,0.3268967574622864,1474.297631704421,1215.6662820948216,31.872428127812505,0.25,2.6377396467932726,81.42673690644281,479.60609557207704
293760,17,0,0.7803026895109926,13483.630474749953,17280.0,1.0,30.401122212477823,20.52819402673222,30.741439936022232,29.94803173379274,0.0,0.0,0.6032971106622756,0.3925601598918918,1517.7967592177015,1255.2814092517528,31.872428127812505,0.25,2.6328791877954036,81.23864429319691,505.26128933085516
311040,18,0,0.7823634425435254,13519.240287152119,17280.0,1.0,30.397787258853,20.530669334095673,30.742330391548684,29.95043461842302,0.0,0.0,0.6119931226732838,0.38751552117010457,1586.5782354803432,1240.7954646235387,31.872428127812505,0.25,2.6301815972925646,81.18582617932698,482.47022284708123
328320,19,0,0.7763220807264032,13414.845554952248,17280.0,1.0,30.412159474890586,20.526967260457308,30.894259418969934,29.949020233404198,0.0,0.0,0.6457264035142826,0.39302885986839253,1556.7702175052698,1239.9775227766197,31.872428127812505,0.25,2.651104595228259,81.82088061987527,494.1281579645064
345600,20,0,0.7767380926472807,13422.03424094501,17280.0,1.0,30.400927050810072,20.53269107197567,30.775518921840522,29.949286602407106,0.0,0.0,0.5570383213740737,0.38767620850371615,1599.7703892730729,1250.0428711213985,31.872428127812505,0.25,2.643942345895557,81.54162803262837,491.44942727330834
362880,21,0,0.7811760778123614,13498.722624597605,17280.0,1.0,30.41802298020621,20.533838629339446,30.748049820287168,29.95032996428992,0.0,0.0,0.6382308833717198,0.47200168607876125,1646.5980871053562,1230.3358507548699,31.872428127812505,0.25,2.612171258931641,80.57954659160379,461.35950178124057
380160,22,0,0.7719367559144168,13339.067142201122,17280.0,1.0,30.40382256957547,20.53144256273404,30.772166675458912,29.94920519006242,0.0,0.0,0.6251962832563811,0.37311633571131175,1519.9859757548888,1188.808443773532,31.872428127812505,0.25,2.6295865616185203,81.10858900561112,465.8433148401134
397440,23,0,0.774698678817867,13386.793169972741,17280.0,1.0,30.44912306212663,20.525634670776828,30.79685843454799,29.949113650197205,0.0,0.0,0.7620294488728141,0.5002390379386792,1411.5774052956644,1299.8241359653803,31.872428127812505,0.25,2.653707392854317,81.91692270515888,491.34497142592306
